,cost_for_two,cuisines,locality,rating,rest_name,votes
937,900,"['North Indian', 'Continental', 'Chinese', 'Fast Food', 'Andhra', 'Beverages']",Koramangala 4th Block,4,Attic Lounge                                     ,1435
938,700,"['Cafe', 'Continental', 'BBQ']",Richmond Road,4.2,Café Mor'ish                                     ,171
939,900,"['Cafe', 'American', 'Italian', 'Modern Indian']",Koramangala 1st Block,4.1,Bistro Claytopia                                     ,1973
940,700,"['Pizza', 'Italian', 'Beverages']",Koramangala 6th Block,3.9,Midnight Mania                                     ,805
941,350,['Desserts'],Kalyan Nagar,3.4,Criollo Patisserie                                     ,7
942,150,"['South Indian', 'Tamil']",Whitefield,3.2,Hotel Annapurna                                     ,4
943,250,"['Tea', 'Beverages']",Koramangala 7th Block,3.4,Nirvana Tea A Healthy Sit                                     ,4
944,200,"['Kerala', 'South Indian']",BTM,3.6,Calicut Cafe Restaurant                                     ,34
945,300,"['Andhra', 'South Indian', 'Biryani']",Jeevan Bhima Nagar,4.2,Andhra Gunpowder                                     ,57
946,100,['Fast Food'],Sarjapur Road,4.4,Poha On Wheels                                     ,58
947,300,"['Fast Food', 'Burger']",Jalahalli,3.7,Fit Burger                                     ,18
948,700,"['North Indian', 'Mughlai', 'Chinese']",Sarjapur Road,3.9,The Urban Turban                                     ,92
949,350,['North Indian'],Bellandur,4.1,Phulke Ghar Ke                                     ,636
950,550,"['Tamil', 'Biryani', 'Andhra', 'North Indian', 'Chinese', 'South Indian']",Whitefield,3.8,Vaigai Vilas                                     ,180
951,300,"['North Indian', 'Biryani', 'Chinese']",Electronic City,3.6,1971 Tiny Village                                     ,17
952,300,"['Pizza', 'Continental']",Bellandur,3.5,GOPIZZA                                     ,10
953,"1,100","['North Indian', 'South Indian', 'Italian', 'Continental']","Citrus Hotels, Cunningham Road",4,BISO - Citrus Hotels                                     ,200
954,300,"['Biryani', 'Rolls']","Gopalan Arcade, Rajarajeshwari Nagar",3.5,Rasoi Ghar                                     ,218
955,700,"['South Indian', 'North Indian', 'Chinese', 'Biryani']",BTM,4.1,Sri Vishnu Park                                     ,285
956,600,"['Biryani', 'Andhra', 'North Indian', 'Chinese']",Bellandur,3.6,Andhra Chilli's Family Restaurant                                     ,29
957,"1,600",['South Indian'],Indiranagar,4.3,The Restaurant - Coorg                                     ,549
958,800,"['Cafe', 'Continental', 'Fast Food']",HSR,4.3,Hustle                                     ,51
959,450,"['Biryani', 'Andhra']",Majestic,4.2,Hotel Annapoorna                                     ,280
960,500,"['Desserts', 'Beverages']",Jayanagar,4,Krispy Kreme                                     ,283
961,"1,800","['American', 'Italian']",Whitefield,4.2,Uno Chicago Bar & Grill                                     ,581
962,150,['Street Food'],Race Course Road,3.9,Gangotree                                     ,71
963,500,"['Healthy Food', 'North Indian', 'Thai']",HSR,3.9,Grow Fit                                     ,100
964,450,"['Vietnamese', 'Chinese', 'Thai', 'Burmese', 'Japanese', 'Indonesian']",HBR Layout,3.7,Hao Chi                                     ,24
965,450,"['North Indian', 'South Indian', 'Chinese', 'Biryani', 'Beverages']",Jayanagar,3.6,Udupi Guru Vihar                                     ,17
966,500,"['North Indian', 'Chinese', 'Seafood', 'Biryani']",New BEL Road,4.1,Akshaya Deluxe                                     ,449
967,800,"['Cafe', 'Continental', 'Fast Food']",Kammanahalli,4.3,Based On A True Story- Bistro                                     ,585
968,800,"['Italian', 'Continental', 'Pizza', 'Beverages', 'Desserts']",Indiranagar,4.3,Power House Pitstsa                                     ,404
969,300,"['Desserts', 'Bakery']",Kalyan Nagar,4.5,Mugful Of Stories                                     ,352
970,"1,400","['Continental', 'South Indian', 'North Indian', 'Asian']"," Zone By The Park, Electronic City",4.2,Bazaar - Zone By The Park                                     ,586
971,600,"['Cafe', 'Bakery']",MG Road,4.3,Happy Belly Bakes                                     ,187
972,"2,500","['Continental', 'Asian', 'South Indian', 'North Indian']","Sheraton Grand Bengaluru, Whitefield",4.3,Feast - Sheraton Grand Bengaluru Whitefield Hotel &...                                     ,633
973,800,"['North Indian', 'Chinese', 'Italian', 'Continental']",Nagarbhavi,3.7,1947 The Black House Cafe                                     ,32
974,300,"['Chinese', 'North Indian', 'Street Food']",Rajarajeshwari Nagar,3.1,Fun & Food                                     ,4
975,150,"['Beverages', 'Desserts', 'Street Food']",Commercial Street,3.2,Lassi House                                     ,4
976,700,"['North Indian', 'Chinese', 'Andhra']",Bommanahalli,3.2,Samrudhi Restaurant                                     ,4
977,250,['Fast Food'],BTM,3.3,Starter Adda                                     ,5
978,400,"['North Indian', 'Biryani', 'Kebab', 'BBQ']",Indiranagar,3.7,UBQ by Barbeque Nation                                     ,54
979,300,"['North Indian', 'South Indian', 'Chinese']",Yeshwantpur,3.9,Priyadarshini Veg                                     ,231
980,500,['Ice Cream'],Whitefield,3.7,Omm Nom Nomm                                     ,19
981,600,['North Indian'],Bellandur,3.9,Bathinda Dine                                     ,522
982,250,"['South Indian', 'Chinese']",Electronic City,3.8,New Taaza Thindi                                     ,24
983,250,"['Bengali', 'North Indian']",Yeshwantpur,4.1,Aastha Bengali Mess                                     ,248
984,200,"['Fast Food', 'Street Food']",Electronic City,3.9,Chaat Ka Chaska                                     ,106
985,"1,700","['Continental', 'North Indian']",Four Points by Sheraton Bengaluru Whitefield,4,The Eatery - Four Points by Sheraton Bengaluru                                     ,398
986,600,"['Cafe', 'Burger', 'Fast Food']",Sarjapur Road,4,Biggies Burger                                     ,143
987,500,"['North Indian', 'Chinese']",Sarjapur Road,3.7,First Bite                                     ,23
988,300,"['South Indian', 'North Indian', 'Chinese', 'Beverages']",Jakkur,4,New Krishna Sagar                                     ,196
989,"1,200",['Korean'],Koramangala 5th Block,4.4,The Himalayan                                     ,429
990,800,"['Chinese', 'Thai', 'Momos', 'Vietnamese']",JP Nagar,4,Chung Wah                                     ,639
991,"2,900","['Continental', 'Finger Food', 'North Indian', 'Asian']","Radisson Blu, Marathahalli",4.2,Malties - Radisson Blu                                     ,135
992,600,"['Fast Food', 'Desserts', 'Beverages']",Sarjapur Road,3.9,Stogo Cafe & Bakery                                     ,52
993,300,['North Indian'],Rajajinagar,3.6,Naaan Veg                                     ,112
994,600,"['Tibetan', 'Chinese', 'Momos']",Koramangala 7th Block,4.2,Tenzin Kitchen                                     ,672
995,"1,000","['Goan', 'Mangalorean', 'Pizza', 'Seafood']",Ulsoor,4.2,Carnival de Goa                                     ,1073
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
